,product_name,category,price,sales_date,day_of_week,holiday,number_of_items_sold,total_revenue,sales_time,product_id,buyer_gender
44,Eggs,Dairy,134,2022-09-01,Thursday,False,13,1742,16:10,1041,Women
45,Milk packet,Dairy,80,2022-09-01,Thursday,False,21,1680,08:10,1022,Women
46,Jam jar,Grocery,350,2022-09-02,Friday,False,10,3500,18:31,1091,Women
47,Bread package,Bakery,55,2022-09-02,Friday,False,2,110,07:33,1011,Women
48,Bread package,Bakery,55,2022-09-02,Friday,False,17,935,07:34,1011,Men
49,Eggs,Dairy,134,2022-09-02,Friday,False,14,1876,09:59,1041,Men
50,Eggs,Dairy,134,2022-09-02,Friday,False,19,2546,09:50,1041,Men
51,Milk packet,Dairy,80,2022-09-02,Friday,False,9,720,08:18,1022,Men
52,Butter,Dairy,285,2022-09-02,Friday,False,2,570,15:23,1078,Women
53,Bread package,Bakery,55,2022-09-02,Friday,False,19,1045,10:51,1011,Women
54,Jam jar,Grocery,350,2022-09-02,Friday,False,8,2800,16:02,1091,Women
55,Jam jar,Grocery,350,2022-09-02,Friday,False,4,1400,08:41,1091,Women
56,Bread package,Bakery,55,2022-09-02,Friday,False,18,990,15:41,1011,Men
57,Eggs,Dairy,134,2022-09-02,Friday,False,13,1742,18:22,1041,Men
58,Butter,Dairy,285,2022-09-02,Friday,False,10,2850,16:15,1078,Men
59,Butter,Dairy,285,2022-09-02,Friday,False,15,4275,19:56,1078,Men
60,Bread package,Bakery,55,2022-09-02,Friday,False,3,165,12:14,1011,Men
61,Milk packet,Dairy,80,2022-09-02,Friday,False,11,880,09:03,1022,Women
62,Bread package,Bakery,55,2022-09-02,Friday,False,4,220,16:19,1011,Women
63,Milk packet,Dairy,80,2022-09-02,Friday,False,10,800,14:11,1022,Men
64,Milk packet,Dairy,80,2022-09-02,Friday,False,9,720,18:14,1022,Men
65,Jam jar,Grocery,350,2022-09-02,Friday,False,19,6650,19:30,1091,Men
66,Butter,Dairy,285,2022-09-02,Friday,False,11,3135,14:21,1078,Women
67,Butter,Dairy,285,2022-09-02,Friday,False,8,2280,13:17,1078,Women
68,Eggs,Dairy,134,2022-09-02,Friday,False,13,1742,08:22,1041,Men
69,Milk packet,Dairy,80,2022-09-02,Friday,False,16,1280,08:00,1022,Women
70,Eggs,Dairy,134,2022-09-02,Friday,False,11,1474,09:06,1041,Men
71,Eggs,Dairy,134,2022-09-02,Friday,False,8,1072,19:22,1041,Men
72,Butter,Dairy,285,2022-09-03,Saturday,True,6,1710,11:34,1078,Men
73,Jam jar,Grocery,350,2022-09-03,Saturday,True,14,4900,08:08,1091,Women
74,Butter,Dairy,285,2022-09-03,Saturday,True,15,4275,12:14,1078,Women
75,Milk packet,Dairy,80,2022-09-03,Saturday,True,19,1520,09:53,1022,Women
76,Eggs,Dairy,134,2022-09-03,Saturday,True,14,1876,17:09,1041,Men
77,Eggs,Dairy,134,2022-09-03,Saturday,True,7,938,08:54,1041,Men
78,Jam jar,Grocery,350,2022-09-03,Saturday,True,15,5250,15:31,1091,Women
79,Butter,Dairy,285,2022-09-03,Saturday,True,5,1425,07:24,1078,Women
80,Butter,Dairy,285,2022-09-03,Saturday,True,12,3420,15:54,1078,Men
81,Jam jar,Grocery,350,2022-09-03,Saturday,True,3,1050,17:25,1091,Women
82,Eggs,Dairy,134,2022-09-03,Saturday,True,2,268,07:07,1041,Men
83,Butter,Dairy,285,2022-09-03,Saturday,True,19,5415,11:48,1078,Men
84,Eggs,Dairy,134,2022-09-03,Saturday,True,11,1474,10:06,1041,Women
85,Eggs,Dairy,134,2022-09-03,Saturday,True,7,938,13:31,1041,Women
86,Butter,Dairy,285,2022-09-03,Saturday,True,8,2280,13:22,1078,Women
87,Butter,Dairy,285,2022-09-03,Saturday,True,5,1425,16:50,1078,Men
88,Bread package,Bakery,55,2022-09-03,Saturday,True,11,605,09:46,1011,Women
89,Butter,Dairy,285,2022-09-03,Saturday,True,9,2565,12:52,1078,Men
90,Butter,Dairy,285,2022-09-03,Saturday,True,19,5415,15:21,1078,Men
91,Milk packet,Dairy,80,2022-09-03,Saturday,True,15,1200,08:51,1022,Women
92,Eggs,Dairy,134,2022-09-03,Saturday,True,13,1742,07:40,1041,Men
93,Jam jar,Grocery,350,2022-09-03,Saturday,True,7,2450,11:16,1091,Women
94,Butter,Dairy,285,2022-09-03,Saturday,True,9,2565,14:19,1078,Men
95,Jam jar,Grocery,350,2022-09-03,Saturday,True,7,2450,12:20,1091,Women
96,Jam jar,Grocery,350,2022-09-03,Saturday,True,4,1400,12:10,1091,Men
97,Milk packet,Dairy,80,2022-09-03,Saturday,True,3,240,08:17,1022,Women
98,Jam jar,Grocery,350,2022-09-03,Saturday,True,11,3850,16:32,1091,Women
99,Jam jar,Grocery,350,2022-09-03,Saturday,True,4,1400,14:18,1091,Women
100,Eggs,Dairy,134,2022-09-03,Saturday,True,17,2278,10:14,1041,Men
101,Eggs,Dairy,134,2022-09-03,Saturday,True,5,670,07:05,1041,Men
102,Butter,Dairy,285,2022-09-03,Saturday,True,18,5130,17:02,1078,Women
103,Bread package,Bakery,55,2022-09-03,Saturday,True,7,385,19:46,1011,Men
104,Eggs,Dairy,134,2022-09-03,Saturday,True,4,536,08:24,1041,Men
105,Jam jar,Grocery,350,2022-09-03,Saturday,True,13,4550,13:01,1091,Women
106,Bread package,Bakery,55,2022-09-03,Saturday,True,7,385,11:54,1011,Men
107,Bread package,Bakery,55,2022-09-03,Saturday,True,18,990,16:49,1011,Men
108,Milk packet,Dairy,80,2022-09-03,Saturday,True,18,1440,09:13,1022,Men
109,Milk packet,Dairy,80,2022-09-03,Saturday,True,17,1360,08:42,1022,Women
110,Eggs,Dairy,134,2022-09-03,Saturday,True,14,1876,09:42,1041,Men
111,Bread package,Bakery,55,2022-09-03,Saturday,True,19,1045,13:21,1011,Men
112,Butter,Dairy,285,2022-09-03,Saturday,True,3,855,08:57,1078,Women
113,Eggs,Dairy,134,2022-09-03,Saturday,True,13,1742,18:54,1041,Men
114,Eggs,Dairy,134,2022-09-03,Saturday,True,15,2010,08:16,1041,Women
115,Jam jar,Grocery,350,2022-09-03,Saturday,True,9,3150,19:04,1091,Men
116,Eggs,Dairy,134,2022-09-03,Saturday,True,15,2010,08:39,1041,Men
117,Eggs,Dairy,134,2022-09-03,Saturday,True,6,804,13:48,1041,Men
118,Butter,Dairy,285,2022-09-03,Saturday,True,18,5130,13:58,1078,Women
119,Butter,Dairy,285,2022-09-03,Saturday,True,18,5130,12:23,1078,Men
120,Jam jar,Grocery,350,2022-09-03,Saturday,True,2,700,09:10,1091,Women
121,Jam jar,Grocery,350,2022-09-03,Saturday,True,3,1050,14:11,1091,Women
122,Eggs,Dairy,134,2022-09-03,Saturday,True,13,1742,10:46,1041,Men
123,Jam jar,Grocery,350,2022-09-03,Saturday,True,1,350,16:27,1091,Men
124,Eggs,Dairy,134,2022-09-03,Saturday,True,14,1876,10:01,1041,Men
125,Milk packet,Dairy,80,2022-09-03,Saturday,True,15,1200,07:15,1022,Men
126,Milk packet,Dairy,80,2022-09-03,Saturday,True,7,560,09:09,1022,Men
127,Bread package,Bakery,55,2022-09-03,Saturday,True,7,385,13:16,1011,Men
128,Eggs,Dairy,134,2022-09-03,Saturday,True,3,402,14:53,1041,Men
129,Milk packet,Dairy,80,2022-09-03,Saturday,True,12,960,07:49,1022,Men
130,Butter,Dairy,285,2022-09-03,Saturday,True,3,855,07:01,1078,Men
131,Milk packet,Dairy,80,2022-09-03,Saturday,True,14,1120,09:44,1022,Women
132,Milk packet,Dairy,80,2022-09-03,Saturday,True,7,560,14:46,1022,Men
133,Eggs,Dairy,134,2022-09-03,Saturday,True,13,1742,07:38,1041,Men
134,Bread package,Bakery,55,2022-09-03,Saturday,True,14,770,14:16,1011,Women
135,Milk packet,Dairy,80,2022-09-03,Saturday,True,15,1200,09:37,1022,Women
136,Butter,Dairy,285,2022-09-03,Saturday,True,10,2850,13:22,1078,Men
137,Milk packet,Dairy,80,2022-09-03,Saturday,True,18,1440,08:48,1022,Women
138,Milk packet,Dairy,80,2022-09-03,Saturday,True,7,560,07:10,1022,Men
139,Butter,Dairy,285,2022-09-03,Saturday,True,6,1710,10:35,1078,Men
140,Jam jar,Grocery,350,2022-09-03,Saturday,True,6,2100,14:23,1091,Women
141,Eggs,Dairy,134,2022-09-03,Saturday,True,5,670,16:22,1041,Men
142,Eggs,Dairy,134,2022-09-03,Saturday,True,1,134,19:10,1041,Men
143,Bread package,Bakery,55,2022-09-03,Saturday,True,4,220,15:17,1011,Men
144,Jam jar,Grocery,350,2022-09-03,Saturday,True,16,5600,09:33,1091,Men
145,Eggs,Dairy,134,2022-09-03,Saturday,True,14,1876,10:56,1041,Men
146,Jam jar,Grocery,350,2022-09-03,Saturday,True,13,4550,12:35,1091,Women
147,Jam jar,Grocery,350,2022-09-03,Saturday,True,16,5600,15:18,1091,Women
148,Bread package,Bakery,55,2022-09-03,Saturday,True,5,275,09:06,1011,Men
149,Jam jar,Grocery,350,2022-09-03,Saturday,True,15,5250,12:33,1091,Women
150,Milk packet,Dairy,80,2022-09-03,Saturday,True,1,80,07:46,1022,Men
151,Eggs,Dairy,134,2022-09-03,Saturday,True,18,2412,12:42,1041,Men
152,Eggs,Dairy,134,2022-09-03,Saturday,True,8,1072,08:33,1041,Men
153,Eggs,Dairy,134,2022-09-03,Saturday,True,5,670,10:24,1041,Men
154,Butter,Dairy,285,2022-09-03,Saturday,True,14,3990,16:30,1078,Women
155,Eggs,Dairy,134,2022-09-03,Saturday,True,4,536,12:55,1041,Men
156,Milk packet,Dairy,80,2022-09-03,Saturday,True,10,800,07:51,1022,Women
157,Bread package,Bakery,55,2022-09-03,Saturday,True,15,825,13:11,1011,Women
158,Milk packet,Dairy,80,2022-09-03,Saturday,True,15,1200,07:37,1022,Men
159,Eggs,Dairy,134,2022-09-03,Saturday,True,4,536,14:10,1041,Men
160,Jam jar,Grocery,350,2022-09-03,Saturday,True,7,2450,14:14,1091,Women
161,Eggs,Dairy,134,2022-09-03,Saturday,True,12,1608,16:03,1041,Women
162,Eggs,Dairy,134,2022-09-03,Saturday,True,1,134,12:02,1041,Men
163,Bread package,Bakery,55,2022-09-03,Saturday,True,5,275,15:53,1011,Men
164,Milk packet,Dairy,80,2022-09-03,Saturday,True,15,1200,15:35,1022,Women
165,Butter,Dairy,285,2022-09-03,Saturday,True,15,4275,18:18,1078,Men
166,Bread package,Bakery,55,2022-09-03,Saturday,True,18,990,08:07,1011,Men
167,Eggs,Dairy,134,2022-09-03,Saturday,True,10,1340,08:24,1041,Women
168,Milk packet,Dairy,80,2022-09-04,Sunday,True,11,880,07:00,1022,Women
169,Jam jar,Grocery,350,2022-09-04,Sunday,True,19,6650,13:49,1091,Men
170,Eggs,Dairy,134,2022-09-04,Sunday,True,18,2412,15:47,1041,Women
171,Butter,Dairy,285,2022-09-04,Sunday,True,9,2565,08:31,1078,Women
172,Butter,Dairy,285,2022-09-04,Sunday,True,10,2850,19:56,1078,Men
173,Butter,Dairy,285,2022-09-04,Sunday,True,7,1995,12:04,1078,Women
174,Butter,Dairy,285,2022-09-04,Sunday,True,10,2850,18:53,1078,Women
175,Eggs,Dairy,134,2022-09-04,Sunday,True,14,1876,07:24,1041,Men
176,Milk packet,Dairy,80,2022-09-04,Sunday,True,19,1520,09:00,1022,Women
177,Butter,Dairy,285,2022-09-04,Sunday,True,18,5130,19:07,1078,Men
178,Eggs,Dairy,134,2022-09-04,Sunday,True,10,1340,17:08,1041,Men
179,Eggs,Dairy,134,2022-09-04,Sunday,True,11,1474,09:01,1041,Men
180,Milk packet,Dairy,80,2022-09-04,Sunday,True,13,1040,12:37,1022,Men
181,Milk packet,Dairy,80,2022-09-04,Sunday,True,15,1200,08:34,1022,Women
182,Milk packet,Dairy,80,2022-09-04,Sunday,True,4,320,07:27,1022,Men
183,Jam jar,Grocery,350,2022-09-04,Sunday,True,7,2450,16:15,1091,Women
184,Milk packet,Dairy,80,2022-09-04,Sunday,True,13,1040,11:37,1022,Men
185,Butter,Dairy,285,2022-09-04,Sunday,True,7,1995,16:29,1078,Men
186,Eggs,Dairy,134,2022-09-04,Sunday,True,16,2144,10:19,1041,Women
187,Eggs,Dairy,134,2022-09-04,Sunday,True,8,1072,19:21,1041,Men
188,Bread package,Bakery,55,2022-09-04,Sunday,True,9,495,13:41,1011,Women
189,Bread package,Bakery,55,2022-09-04,Sunday,True,14,770,10:55,1011,Women
190,Milk packet,Dairy,80,2022-09-04,Sunday,True,13,1040,07:05,1022,Women
191,Milk packet,Dairy,80,2022-09-04,Sunday,True,13,1040,08:02,1022,Women
192,Butter,Dairy,285,2022-09-04,Sunday,True,8,2280,07:27,1078,Women
193,Milk packet,Dairy,80,2022-09-04,Sunday,True,12,960,09:10,1022,Men
194,Milk packet,Dairy,80,2022-09-04,Sunday,True,11,880,07:53,1022,Women
195,Milk packet,Dairy,80,2022-09-04,Sunday,True,1,80,07:19,1022,Women
196,Butter,Dairy,285,2022-09-04,Sunday,True,6,1710,08:19,1078,Men
197,Milk packet,Dairy,80,2022-09-04,Sunday,True,11,880,14:18,1022,Men
198,Bread package,Bakery,55,2022-09-04,Sunday,True,7,385,10:52,1011,Women
199,Bread package,Bakery,55,2022-09-04,Sunday,True,13,715,08:22,1011,Men
200,Eggs,Dairy,134,2022-09-04,Sunday,True,1,134,17:25,1041,Men
201,Milk packet,Dairy,80,2022-09-04,Sunday,True,6,480,08:47,1022,Men
202,Bread package,Bakery,55,2022-09-04,Sunday,True,3,165,19:24,1011,Men
203,Bread package,Bakery,55,2022-09-04,Sunday,True,4,220,12:19,1011,Men
204,Milk packet,Dairy,80,2022-09-04,Sunday,True,13,1040,09:40,1022,Women
205,Butter,Dairy,285,2022-09-04,Sunday,True,16,4560,13:53,1078,Men
206,Eggs,Dairy,134,2022-09-04,Sunday,True,13,1742,11:24,1041,Men
207,Butter,Dairy,285,2022-09-04,Sunday,True,3,855,18:42,1078,Women
208,Jam jar,Grocery,350,2022-09-04,Sunday,True,2,700,18:02,1091,Women
209,Bread package,Bakery,55,2022-09-04,Sunday,True,11,605,12:11,1011,Men
210,Milk packet,Dairy,80,2022-09-04,Sunday,True,11,880,09:46,1022,Men
211,Jam jar,Grocery,350,2022-09-04,Sunday,True,8,2800,11:10,1091,Men
212,Bread package,Bakery,55,2022-09-04,Sunday,True,16,880,12:58,1011,Men
213,Butter,Dairy,285,2022-09-04,Sunday,True,19,5415,13:59,1078,Men
214,Bread package,Bakery,55,2022-09-04,Sunday,True,5,275,19:50,1011,Men
215,Jam jar,Grocery,350,2022-09-04,Sunday,True,6,2100,15:13,1091,Women
216,Eggs,Dairy,134,2022-09-04,Sunday,True,15,2010,12:21,1041,Men
217,Butter,Dairy,285,2022-09-04,Sunday,True,4,1140,08:24,1078,Men
218,Milk packet,Dairy,80,2022-09-04,Sunday,True,1,80,07:09,1022,Women
219,Jam jar,Grocery,350,2022-09-04,Sunday,True,9,3150,17:43,1091,Men
220,Eggs,Dairy,134,2022-09-04,Sunday,True,12,1608,12:00,1041,Men
221,Bread package,Bakery,55,2022-09-04,Sunday,True,4,220,13:43,1011,Women
222,Bread package,Bakery,55,2022-09-04,Sunday,True,16,880,09:01,1011,Men
223,Jam jar,Grocery,350,2022-09-04,Sunday,True,13,4550,08:37,1091,Women
224,Milk packet,Dairy,80,2022-09-04,Sunday,True,9,720,09:16,1022,Men
225,Butter,Dairy,285,2022-09-04,Sunday,True,5,1425,14:32,1078,Men
226,Eggs,Dairy,134,2022-09-04,Sunday,True,5,670,18:27,1041,Men
227,Bread package,Bakery,55,2022-09-04,Sunday,True,14,770,16:22,1011,Men
228,Bread package,Bakery,55,2022-09-04,Sunday,True,10,550,19:13,1011,Men
229,Jam jar,Grocery,350,2022-09-04,Sunday,True,11,3850,16:02,1091,Women
230,Milk packet,Dairy,80,2022-09-04,Sunday,True,9,720,07:20,1022,Women
231,Eggs,Dairy,134,2022-09-04,Sunday,True,13,1742,10:18,1041,Men
232,Eggs,Dairy,134,2022-09-04,Sunday,True,17,2278,07:44,1041,Men
233,Bread package,Bakery,55,2022-09-04,Sunday,True,5,275,17:02,1011,Women
234,Butter,Dairy,285,2022-09-04,Sunday,True,10,2850,14:33,1078,Women
235,Butter,Dairy,285,2022-09-04,Sunday,True,6,1710,19:02,1078,Women
236,Milk packet,Dairy,80,2022-09-04,Sunday,True,18,1440,07:36,1022,Women
237,Jam jar,Grocery,350,2022-09-04,Sunday,True,10,3500,08:54,1091,Women
238,Eggs,Dairy,134,2022-09-04,Sunday,True,10,1340,16:25,1041,Men
239,Butter,Dairy,285,2022-09-04,Sunday,True,8,2280,09:22,1078,Men
240,Bread package,Bakery,55,2022-09-04,Sunday,True,19,1045,14:32,1011,Men
241,Eggs,Dairy,134,2022-09-04,Sunday,True,16,2144,08:19,1041,Women
242,Jam jar,Grocery,350,2022-09-04,Sunday,True,13,4550,14:26,1091,Women
243,Jam jar,Grocery,350,2022-09-04,Sunday,True,8,2800,14:21,1091,Women
244,Milk packet,Dairy,80,2022-09-04,Sunday,True,14,1120,08:41,1022,Women
245,Bread package,Bakery,55,2022-09-04,Sunday,True,6,330,14:23,1011,Women
246,Milk packet,Dairy,80,2022-09-04,Sunday,True,8,640,09:24,1022,Women
247,Milk packet,Dairy,80,2022-09-04,Sunday,True,7,560,08:56,1022,Women
248,Eggs,Dairy,134,2022-09-04,Sunday,True,10,1340,10:27,1041,Men
249,Milk packet,Dairy,80,2022-09-04,Sunday,True,12,960,12:56,1022,Women
250,Eggs,Dairy,134,2022-09-04,Sunday,True,5,670,07:47,1041,Men
251,Bread package,Bakery,55,2022-09-04,Sunday,True,11,605,17:12,1011,Women
252,Butter,Dairy,285,2022-09-04,Sunday,True,15,4275,08:05,1078,Women
253,Milk packet,Dairy,80,2022-09-04,Sunday,True,17,1360,07:37,1022,Men
254,Milk packet,Dairy,80,2022-09-04,Sunday,True,2,160,18:19,1022,Men
255,Jam jar,Grocery,350,2022-09-04,Sunday,True,2,700,18:59,1091,Men
256,Butter,Dairy,285,2022-09-04,Sunday,True,12,3420,09:50,1078,Men
257,Milk packet,Dairy,80,2022-09-04,Sunday,True,1,80,09:00,1022,Men
258,Eggs,Dairy,134,2022-09-04,Sunday,True,12,1608,09:16,1041,Men
259,Butter,Dairy,285,2022-09-04,Sunday,True,16,4560,18:13,1078,Women
260,Jam jar,Grocery,350,2022-09-04,Sunday,True,2,700,19:57,1091,Women
261,Milk packet,Dairy,80,2022-09-04,Sunday,True,5,400,09:53,1022,Women
262,Milk packet,Dairy,80,2022-09-04,Sunday,True,18,1440,09:38,1022,Women
263,Bread package,Bakery,55,2022-09-04,Sunday,True,11,605,18:37,1011,Women
264,Eggs,Dairy,134,2022-09-04,Sunday,True,2,268,11:24,1041,Women
265,Eggs,Dairy,134,2022-09-04,Sunday,True,10,1340,08:22,1041,Men
266,Eggs,Dairy,134,2022-09-04,Sunday,True,12,1608,13:48,1041,Women
267,Eggs,Dairy,134,2022-09-05,Monday,False,7,938,07:36,1041,Women
268,Jam jar,Grocery,350,2022-09-05,Monday,False,12,4200,08:17,1091,Women
269,Bread package,Bakery,55,2022-09-05,Monday,False,2,110,09:46,1011,Men
270,Jam jar,Grocery,350,2022-09-05,Monday,False,7,2450,17:15,1091,Women
271,Bread package,Bakery,55,2022-09-05,Monday,False,4,220,07:45,1011,Men
272,Jam jar,Grocery,350,2022-09-05,Monday,False,4,1400,19:00,1091,Women
273,Jam jar,Grocery,350,2022-09-05,Monday,False,1,350,16:20,1091,Women
274,Bread package,Bakery,55,2022-09-05,Monday,False,1,55,19:03,1011,Women
275,Milk packet,Dairy,80,2022-09-05,Monday,False,16,1280,08:43,1022,Men
276,Bread package,Bakery,55,2022-09-05,Monday,False,4,220,18:22,1011,Women
277,Milk packet,Dairy,80,2022-09-05,Monday,False,5,400,08:32,1022,Men
278,Butter,Dairy,285,2022-09-05,Monday,False,8,2280,14:05,1078,Men
279,Eggs,Dairy,134,2022-09-05,Monday,False,3,402,17:37,1041,Men
280,Eggs,Dairy,134,2022-09-05,Monday,False,10,1340,12:11,1041,Women
281,Bread package,Bakery,55,2022-09-05,Monday,False,12,660,13:49,1011,Men
282,Milk packet,Dairy,80,2022-09-05,Monday,False,19,1520,08:04,1022,Women
283,Eggs,Dairy,134,2022-09-05,Monday,False,17,2278,07:46,1041,Men
284,Jam jar,Grocery,350,2022-09-05,Monday,False,10,3500,10:32,1091,Men
285,Eggs,Dairy,134,2022-09-05,Monday,False,11,1474,12:38,1041,Men
286,Butter,Dairy,285,2022-09-05,Monday,False,8,2280,08:53,1078,Women
287,Jam jar,Grocery,350,2022-09-06,Tuesday,False,16,5600,15:09,1091,Women
288,Bread package,Bakery,55,2022-09-06,Tuesday,False,5,275,11:18,1011,Women
289,Butter,Dairy,285,2022-09-06,Tuesday,False,18,5130,17:39,1078,Women
290,Jam jar,Grocery,350,2022-09-06,Tuesday,False,4,1400,13:19,1091,Women
291,Jam jar,Grocery,350,2022-09-06,Tuesday,False,19,6650,14:20,1091,Women
292,Butter,Dairy,285,2022-09-06,Tuesday,False,10,2850,15:29,1078,Women
293,Butter,Dairy,285,2022-09-06,Tuesday,False,10,2850,14:42,1078,Men
294,Bread package,Bakery,55,2022-09-06,Tuesday,False,18,990,09:02,1011,Women
295,Jam jar,Grocery,350,2022-09-06,Tuesday,False,15,5250,09:45,1091,Men
296,Milk packet,Dairy,80,2022-09-06,Tuesday,False,5,400,08:54,1022,Women
297,Milk packet,Dairy,80,2022-09-06,Tuesday,False,10,800,09:04,1022,Men
298,Jam jar,Grocery,350,2022-09-06,Tuesday,False,4,1400,13:06,1091,Women
299,Bread package,Bakery,55,2022-09-06,Tuesday,False,11,605,07:50,1011,Women
300,Butter,Dairy,285,2022-09-06,Tuesday,False,18,5130,09:01,1078,Men
301,Eggs,Dairy,134,2022-09-06,Tuesday,False,3,402,15:55,1041,Men
302,Eggs,Dairy,134,2022-09-06,Tuesday,False,8,1072,09:15,1041,Men
303,Milk packet,Dairy,80,2022-09-06,Tuesday,False,11,880,07:00,1022,Men
304,Milk packet,Dairy,80,2022-09-06,Tuesday,False,19,1520,08:52,1022,Women
305,Butter,Dairy,285,2022-09-06,Tuesday,False,17,4845,12:52,1078,Men
306,Eggs,Dairy,134,2022-09-06,Tuesday,False,6,804,09:47,1041,Women
307,Milk packet,Dairy,80,2022-09-06,Tuesday,False,15,1200,08:48,1022,Women
308,Jam jar,Grocery,350,2022-09-06,Tuesday,False,7,2450,17:44,1091,Women
309,Bread package,Bakery,55,2022-09-06,Tuesday,False,14,770,16:47,1011,Men
310,Jam jar,Grocery,350,2022-09-06,Tuesday,False,18,6300,12:07,1091,Men
311,Milk packet,Dairy,80,2022-09-06,Tuesday,False,13,1040,08:43,1022,Women
312,Jam jar,Grocery,350,2022-09-06,Tuesday,False,14,4900,11:44,1091,Men
313,Eggs,Dairy,134,2022-09-06,Tuesday,False,15,2010,10:54,1041,Men
314,Eggs,Dairy,134,2022-09-06,Tuesday,False,10,1340,09:52,1041,Men
315,Eggs,Dairy,134,2022-09-06,Tuesday,False,3,402,07:52,1041,Men
316,Milk packet,Dairy,80,2022-09-06,Tuesday,False,2,160,18:03,1022,Men
317,Butter,Dairy,285,2022-09-06,Tuesday,False,6,1710,11:51,1078,Men
318,Milk packet,Dairy,80,2022-09-06,Tuesday,False,4,320,09:59,1022,Men
319,Bread package,Bakery,55,2022-09-06,Tuesday,False,5,275,13:21,1011,Women
320,Eggs,Dairy,134,2022-09-06,Tuesday,False,14,1876,07:12,1041,Men
321,Butter,Dairy,285,2022-09-06,Tuesday,False,12,3420,19:38,1078,Men
322,Butter,Dairy,285,2022-09-06,Tuesday,False,14,3990,12:39,1078,Women
323,Butter,Dairy,285,2022-09-06,Tuesday,False,3,855,18:51,1078,Men
